,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_id
0,Herní zóna,Herní příslušenství,Herní sety klávesnice + myš,,,,,38577481
1,Herní zóna,Herní příslušenství,Herní podložky,,,,,38577480
2,"PC, notebooky a kancelář","PC doplňky, příslušenství","Brašny, batohy",,,,,357
3,Pro děti,Hračky,Hračky na zahradu,"Houpačky, houpadla",Pružinové houpačky,,,38463314
4,"Mobily, navigace",Příslušenství k mobilům,Power Bank,,,,,180
5,Foto,Napájení,Power Bank,,,,,180
7,Chovatelské potřeby,Psi,"Kosmetika, péče",Péče o srst,Ručníky,,,38585145
10,"PC, notebooky a kancelář","PC doplňky, příslušenství",Adaptéry a baterie ,,,,,1676
12,"PC, notebooky a kancelář","PC doplňky, příslušenství","Brašny, batohy",,,,,37828416
16,Domácnost,"Nábytek, matrace",Obývací pokoj,"Křesla, taburety",Taburety a stoličky,,,38592271
19,"PC, notebooky a kancelář","PC doplňky, příslušenství",Čištění,,,,,5696883
20,Pro děti,Péče o dítě,Dětský pokoj,Ložní prádlo,,,,5425
21,"PC, notebooky a kancelář","PC doplňky, příslušenství","Podložky, stojany na notebooky",,,,,1677
22,"PC, notebooky a kancelář","PC doplňky, příslušenství",USB příslušenství,,,,,1678
26,"PC, notebooky a kancelář",Notebooky,Příslušenství,Adaptéry a baterie ,,,,1676
90,Pro děti,Hračky,Hračky na zahradu,Vodní pistole,,,,1650
91,"Sport, outdoor",Zimní sporty,Sjezdové lyžování,Hole,,,,27088
93,Pro děti,Hračky,Hračky na zahradu,Létající draci,,,,4781382
94,Hobby a zahrada,Pracovní výstroj,Ochranné pracovní pomůcky,"Respirátory, polomasky",Roušky,Nano roušky,,37740894
95,Pro děti,Hračky,"Karneval, oslava",Halloween,,,,37745644
96,"PC, notebooky a kancelář","PC doplňky, příslušenství",Myši,Bezdrátové,,,,10262032
97,"PC, notebooky a kancelář","PC doplňky, příslušenství",Klávesnice,Herní,,,,10276744
98,"PC, notebooky a kancelář","PC doplňky, příslušenství",Klávesnice,Numerické,,,,10276745
99,"PC, notebooky a kancelář","PC doplňky, příslušenství",Klávesnice,Podsvícené,,,,10276746
100,"PC, notebooky a kancelář","PC doplňky, příslušenství",Klávesnice,USB,,,,10276747
101,"PC, notebooky a kancelář","PC doplňky, příslušenství",Myši,Drátové,,,,10276749
102,"PC, notebooky a kancelář","PC doplňky, příslušenství",Myši,Herní,,,,10276750
103,"PC, notebooky a kancelář","PC doplňky, příslušenství",Myši,Laserové,,,,10276751
104,"PC, notebooky a kancelář","PC doplňky, příslušenství",Myši,S podložkou,,,,34214771
105,"PC, notebooky a kancelář","PC doplňky, příslušenství",Myši,Vertikální,,,,34220851
106,Domácí spotřebiče,"Espressa, kávovary",Kávové kapsle,Starbucks,,,,37655816
107,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Ford,F-150,,37633850
108,Hobby a zahrada,Stavební materiál,Lanové příslušenství,Závěsné oka,,,,37645097
109,Hobby a zahrada,Stavební materiál,Lanové příslušenství,Lanové očnice,,,,37645098
110,Hobby a zahrada,Zahradní a travní doplňky,"Osiva, travní směsi",,,,,2015
111,Foto,Fotoalba a scrapbooky,Samolepící,,,,,10309865
112,Pro děti,Hračky,Adventní kalendáře,Kreativní,,,,36832205
113,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Hyundai,,,27376926
114,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,BMW,,,27376888
115,Auto-moto,Moto potřeby,Moto díly,Stupačky a přepákování,,,,36843880
116,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Opel,,,27376879
117,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,,,,27264298
118,Auto-moto,Moto potřeby,Moto díly,Víka motoru,,,,17617698
119,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Seat,,,27376916
120,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Škoda,,,27264299
121,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Fiat,,,27376906
122,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Audi,,,27376890
123,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Volkswagen,,,34685419
124,Auto-moto,Moto potřeby,Moto díly,Tankpady,,,,17617696
125,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Ford,,,27376882
126,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Kia,,,27376925
127,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Toyota,,,27376899
128,Auto-moto,Auto potřeby,Potřeby do interiéru aut,Podlahové koberce,Ostatní značky,,,27376936
129,Auto-moto,Moto potřeby,Moto díly,Padací protektory,,,,18028354
130,"Sport, outdoor","Fitness, posilování","Jóga, pilates",,,,,17769478
132,"Sport, outdoor","Fitness, posilování","Jóga, pilates",Podložky,,,,17769479
133,"Sport, outdoor","Fitness, posilování",Jóga,,,,,17769478
134,"Sport, outdoor","Fitness, posilování",Jóga,Podložky,,,,17769479
140,Zdraví,Zdravotní pomůcky,"Náplasti, pomůcky na poranění",Náplasti na puchýře,,,,36467841
166,Foto,Blesky,Studiové,,,,,36382786
168,"Oblečení, móda",Pánské oblečení,"Jeans, kalhoty",,,,,207
169,Hobby a zahrada,Nářadí zahradní,Přepravní boxy,,,,,35667404
170,Auto-moto,Přívěsy,,,,,,35534990
171,Auto-moto,Přívěsy,Speciální přívěsy,,,,,35535002
172,"Sport, outdoor",Lovecké potřeby,"Lovecké nože, sady loveckých nožů",Příslušenství,,,,35662836
174,"Oblečení, móda",Pánské oblečení,"Džíny, kalhoty",,,,,207
176,"PC, notebooky a kancelář",Apple store,Příslušenství,Mac,tmp appl,,,35234643
178,Hobby a zahrada,"Dům, byt","Trezory, sejfy",Trezory a skříně na zbraně,"Skříně, trezory na dlouhé zbraně",,,30593104
179,"PC, notebooky a kancelář",Chladiče,,,,,,33260692
180,"Sport, outdoor",Lovecké potřeby,Dárkové předměty,,,,,34556584
181,Domácnost,Interiérové doplňky,Pokojové fontány,,,,,26790562
182,Auto-moto,Auto potřeby,Exteriér,Ochranné rámy na auto,,,,32676597
183,Hobby a zahrada,"Dům, byt","Trezory, sejfy",Trezory a skříně na zbraně,"Skříně, trezory na krátké zbraně",,,25689114
184,"Sport, outdoor",Lovecké potřeby,Lov zvěře,Vábničky,,,,34886128
185,Domácnost,Interiérové doplňky,"Aroma lampy, difuzéry, svíčky",Svíčky,Dárkové sady,,,34961844
186,Chovatelské potřeby,Kočky,Smart Pet,,,,,35040099
187,Hobby a zahrada,Nářadí elektrické,Hoblíky,,,,,31496
188,Obsahové stránky,Akce,MALL Dny,s.Oliver,,,,13505254
189,Obsahové stránky,Akce,MALL Dny,EPICO,,,,13575992
190,Obsahové stránky,Akce,MALL Dny,Fixed,,,,21950248
191,Domácnost,Interiérové doplňky,Vánoční dekorace,Osvětlení,,,,5402080
192,Domácnost,Interiérové doplňky,Vánoční dekorace,Osvětlení,Vnitřní,Řetězy,,3274216
193,Domácnost,Interiérové doplňky,Vánoční dekorace,Osvětlení,Venkovní,"Dekorace, postavy",,5472777
194,Domácnost,Interiérové doplňky,Vánoční dekorace,Betlémy,,,,5402092
195,Domácnost,Interiérové doplňky,Vánoční dekorace,Osvětlení,Venkovní,Projektory,,3274219
196,Domácnost,Interiérové doplňky,Vánoční dekorace,Stolování,,,,7448085
197,Domácnost,Interiérové doplňky,Vánoční dekorace,Stromky,,,,5402081
198,Domácnost,Interiérové doplňky,Vánoční dekorace,Věnce,,,,5402091
199,Domácnost,Interiérové doplňky,Vánoční dekorace,"Stuhy, mašle, organza",,,,5402090
200,Domácnost,Interiérové doplňky,Vánoční dekorace,Ozdoby,Ostatní,,,3274213
201,Domácnost,Interiérové doplňky,Vánoční dekorace,Ozdoby,,,,3274210
202,Domácnost,Interiérové doplňky,Vánoční dekorace,Osvětlení,Vnitřní,Ostatní,,3274217
203,Domácnost,Interiérové doplňky,Vánoční dekorace,Osvětlení,Venkovní,"Řetězy, závěsy",,3274218
204,Domácnost,Interiérové doplňky,Vánoční dekorace,Stojany,Příslušenství,,,3887389
205,Domácnost,Interiérové doplňky,Vánoční dekorace,Osvětlení,Venkovní,,,3274215
206,Domácnost,Interiérové doplňky,Vánoční dekorace,"Girlandy, větvičky, květy",Girlandy,,,9214829
207,Domácnost,Interiérové doplňky,Vánoční dekorace,Ozdoby,Špičky,,,3274211
208,Domácnost,Interiérové doplňky,Vánoční dekorace,Stojany,,,,5405100
210,Obsahové stránky,Akce,MALL Dny,SWISSTEN,,,,13497796
211,Obsahové stránky,Akce,MALL Dny,HP,,,,13497797
212,Obsahové stránky,Akce,MALL Dny,RivaCase,,,,13482775
213,Obsahové stránky,Akce,MALL Dny,Lowepro,,,,13575991
214,Obsahové stránky,Akce,MALL Dny,Emos,,,,13475572
215,Obsahové stránky,Akce,MALL Dny,GoGEN,,,,13482776
216,Obsahové stránky,Akce,MALL Dny,Logitech,,,,13482773
217,Domácnost,Interiérové doplňky,Vánoční dekorace,"Girlandy, větvičky, květy",,,,5402086
218,Domácnost,Interiérové doplňky,Vánoční dekorace,Ozdoby,Koule,,,4103335
219,Domácnost,Interiérové doplňky,Vánoční dekorace,Ozdoby,Sety,,,3274212
220,Domácnost,Interiérové doplňky,Vánoční dekorace,Stolování,"Svícny, svíčky",,,4177489
221,Domácnost,Interiérové doplňky,Vánoční dekorace,Osvětlení,Vnitřní,Závěsy,,3302862
